53,461,-12,7
72,464,-11,7
90,468,-10,7
111,470,-9,7
132,471,-8,7
157,472,-7,7
181,472,-6,7
205,472,-5,7
229,472,-4,7
253,472,-3,7
277,472,-2,7
303,473,-1,7
326,473,0,7
351,473,1,7
375,473,2,7
399,473,3,7
424,473,4,7
449,473,5,7
472,473,6,7
496,472,7,7
519,470,8,7
538,466,9,7
556,461,10,7
575,456,11,7
590,449,12,7
603,442,13,7
44,435,-13,8
61,438,-12,8
81,440,-11,8
101,442,-10,8
122,442,-9,8
144,442,-8,8
168,442,-7,8
191,442,-6,8
212,442,-5,8
235,442,-4,8
259,442,-3,8
280,442,-2,8
303,442,-1,8
324,442,0,8
348,442,1,8
369,442,2,8
393,442,3,8
415,442,4,8
439,442,5,8
461,442,6,8
484,442,7,8
508,442,8,8
528,442,9,8
548,440,10,8
566,436,11,8
584,432,12,8
596,426,13,8
38,410,-14,9
55,412,-13,9
74,413,-12,9
93,415,-11,9
114,414,-10,9
134,412,-9,9
156,412,-8,9
177,412,-7,9
198,412,-6,9
219,412,-5,9
240,412,-4,9
261,412,-3,9
282,412,-2,9
303,412,-1,9
324,412,0,9
345,412,1,9
366,412,2,9
387,412,3,9
408,412,4,9
429,412,5,9
450,412,6,9
471,412,7,9
492,412,8,9
516,411,9,9
535,411,10,9
555,410,11,9
572,408,12,9
588,407,13,9
602,404,14,9
35,388,-15,10
51,390,-14,10
67,391,-13,10
89,391,-12,10
107,390,-11,10
127,390,-10,10
147,390,-9,10
167,390,-8,10
187,390,-7,10
205,390,-6,10
226,390,-5,10
245,390,-4,10
265,390,-3,10
284,390,-2,10
303,390,-1,10
323,390,0,10
343,390,1,10
361,390,2,10
380,390,3,10
400,390,4,10
420,390,5,10
440,390,6,10
460,390,7,10
480,390,8,10
502,390,9,10
522,390,10,10
540,388,11,10
558,387,12,10
576,386,13,10
592,386,14,10
606,383,15,10
47,369,-15,11
64,369,-14,11
83,369,-13,11
102,369,-12,11
119,368,-11,11
138,368,-10,11
156,367,-9,11
175,367,-8,11
193,367,-7,11
211,367,-6,11
231,367,-5,11
250,367,-4,11
268,367,-3,11
285,367,-2,11
303,367,-1,11
322,367,0,11
340,367,1,11
358,367,2,11
376,367,3,11
394,367,4,11
412,367,5,11
431,367,6,11
451,367,7,11
468,368,8,11
488,370,9,11
508,369,10,11
528,368,11,11
546,367,12,11
563,367,13,11
580,365,14,11
595,364,15,11
608,362,16,11
44,348,-16,12
63,348,-15,12
79,348,-14,12
96,349,-13,12
112,349,-12,12
131,348,-11,12
147,347,-10,12
163,347,-9,12
184,347,-8,12
200,347,-7,12
216,347,-6,12
235,347,-5,12
252,347,-4,12
270,347,-3,12
286,347,-2,12
303,347,-1,12
321,347,0,12
337,347,1,12
354,347,2,12
371,347,3,12
388,347,4,12
407,347,5,12
424,347,6,12
441,347,7,12
459,347,8,12
477,347,9,12
495,348,10,12
514,348,11,12
532,348,12,12
549,348,13,12
567,347,14,12
584,347,15,12
598,346,16,12
610,343,17,12
43,331,-17,13
57,331,-16,13
75,331,-15,13
91,331,-14,13
108,331,-13,13
124,331,-12,13
140,331,-11,13
157,331,-10,13
172,331,-9,13
191,331,-8,13
205,331,-7,13
221,331,-6,13
238,332,-5,13
254,333,-4,13
271,333,-3,13
287,333,-2,13
303,333,-1,13
321,333,0,13
336,333,1,13
353,333,2,13
368,333,3,13
384,333,4,13
401,333,5,13
417,333,6,13
435,332,7,13
451,332,8,13
467,332,9,13
484,333,10,13
502,333,11,13
519,331,12,13
537,332,13,13
554,332,14,13
570,332,15,13
585,330,16,13
600,329,17,13
41,317,-18,14
55,317,-17,14
71,317,-16,14
87,317,-15,14
103,317,-14,14
117,317,-13,14
134,316,-12,14
149,315,-11,14
164,316,-10,14
180,316,-9,14
196,316,-8,14
211,316,-7,14
226,316,-6,14
242,317,-5,14
257,317,-4,14
272,318,-3,14
288,318,-2,14
303,317,-1,14
319,317,0,14
334,317,1,14
350,317,2,14
364,317,3,14
380,317,4,14
396,317,5,14
411,316,6,14
427,316,7,14
443,315,8,14
458,315,9,14
476,317,10,14
492,316,11,14
507,315,12,14
524,315,13,14
542,316,14,14
558,316,15,14
574,316,16,14
586,314,17,14
602,315,18,14
40,303,-19,15
53,303,-18,15
69,303,-17,15
83,303,-16,15
99,303,-15,15
114,303,-14,15
127,303,-13,15
143,303,-12,15
